Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;79;5;;
3500204;Interior;Adolfo;27;2;;
3500303;Interior;Aguaí;89;4;;
3500402;Interior;Águas da Prata;2;1;;
3500501;Interior;Águas de Lindóia;56;4;;
3500550;Interior;Águas de Santa Bárbara;7;0;;
3500600;Interior;Águas de São Pedro;11;0;;
3500709;Interior;Agudos;163;3;;
3500758;Interior;Alambari;25;0;;
3500808;Interior;Alfredo Marcondes;6;1;;
3500907;Interior;Altair;4;1;;
3501004;Interior;Altinópolis;41;2;;
3501103;Interior;Alto Alegre;10;1;;
3501152;Interior;Alumínio;58;4;;
3501202;Interior;Álvares Florence;15;0;;
3501301;Interior;Álvares Machado;81;2;;
3501400;Interior;Álvaro de Carvalho;4;2;;
3501509;Interior;Alvinlândia;2;0;;
3501608;Interior;Americana;1043;42;;
3501707;Interior;Américo Brasiliense;168;2;;
3501806;Interior;Américo de Campos;50;0;;
3501905;Interior;Amparo;213;8;;
3502002;Interior;Analândia;11;0;;
3502101;Interior;Andradina;78;5;;
3502200;Interior;Angatuba;96;2;;
3502309;Interior;Anhembi;3;0;;
3502408;Interior;Anhumas;9;0;;
3502507;Interior;Aparecida;44;0;;
3502606;Interior;Aparecida d'Oeste;12;0;;
3502705;Interior;Apiaí;49;2;;
3502754;Interior;Araçariguama;106;2;;
3502804;Interior;Araçatuba;1516;44;;
3502903;Interior;Araçoiaba da Serra;132;4;;
3503000;Interior;Aramina;17;1;;
3503109;Interior;Arandu;14;2;;
3503158;Interior;Arapeí;1;1;;
3503208;Interior;Araraquara;1273;15;;
3503307;Interior;Araras;638;23;;
3503406;Interior;Arealva;9;0;;
3503505;Interior;Areias;3;0;;
3503604;Interior;Areiópolis;25;3;;
3503703;Interior;Ariranha;57;0;;
3503802;Interior;Artur Nogueira;120;2;;
3503901;RMSP (exceto capital);Arujá;699;45;;
3503950;Interior;Aspásia;20;0;;
3504008;Interior;Assis;306;14;;
3504107;Interior;Atibaia;343;13;;
3504206;Interior;Auriflama;74;2;;
3504305;Interior;Avaí;16;0;;
3504404;Interior;Avanhandava;11;0;;
3504503;Interior;Avaré;161;10;;
3504602;Interior;Bady Bassitt;172;8;;
3504800;Interior;Bálsamo;55;1;;
3504909;Interior;Bananal;15;0;;
3505005;Interior;Barão de Antonina;10;0;;
3505104;Interior;Barbosa;9;0;;
3505203;Interior;Bariri;111;2;;
3505302;Interior;Barra Bonita;193;5;;
3505351;Interior;Barra do Chapéu;14;0;;
3505401;Interior;Barra do Turvo;18;1;;
3505500;Interior;Barretos;1417;50;;
3505609;Interior;Barrinha;154;6;;
3505708;RMSP (exceto capital);Barueri;2587;241;;
3505807;Interior;Bastos;20;0;;
3505906;Interior;Batatais;87;1;;
3506003;Interior;Bauru;2032;42;;
3506102;Interior;Bebedouro;156;7;;
3506201;Interior;Bento de Abreu;9;0;;
3506300;Interior;Bernardino de Campos;34;0;;
3506359;Interior;Bertioga;755;19;;
3506409;Interior;Bilac;13;0;;
3506508;Interior;Birigui;447;17;;
3506607;RMSP (exceto capital);Biritiba Mirim;92;8;;
3506706;Interior;Boa Esperança do Sul;27;1;;
3506805;Interior;Bocaina;62;2;;
3506904;Interior;Bofete;55;3;;
3507001;Interior;Boituva;331;9;;
3507100;Interior;Bom Jesus dos Perdões;51;0;;
3507209;Interior;Borá;1;0;;
3507308;Interior;Boracéia;18;0;;
3507407;Interior;Borborema;37;0;;
3507456;Interior;Borebi;12;1;;
3507506;Interior;Botucatu;841;18;;
3507605;Interior;Bragança Paulista;776;20;;
3507704;Interior;Braúna;28;2;;
3507753;Interior;Brejo Alegre;5;0;;
3507803;Interior;Brodowski;120;2;;
3507902;Interior;Brotas;18;0;;
3508009;Interior;Buri;56;4;;
3508108;Interior;Buritama;63;4;;
3508207;Interior;Buritizal;7;0;;
3508306;Interior;Cabrália Paulista;26;0;;
3508405;Interior;Cabreúva;422;23;;
3508504;Interior;Caçapava;293;9;;
3508603;Interior;Cachoeira Paulista;61;1;;
3508702;Interior;Caconde;11;0;;
3508801;Interior;Cafelândia;51;2;;
3508900;Interior;Caiabu;16;1;;
3509007;RMSP (exceto capital);Caieiras;777;55;;
3509106;Interior;Caiuá;4;0;;
3509205;RMSP (exceto capital);Cajamar;773;48;;
3509254;Interior;Cajati;206;2;;
3509304;Interior;Cajobi;32;1;;
3509403;Interior;Cajuru;59;2;;
3509452;Interior;Campina do Monte Alegre;44;0;;
3509502;Interior;Campinas;11513;453;;
3509601;Interior;Campo Limpo Paulista;319;34;;
3509700;Interior;Campos do Jordão;192;1;;
3509809;Interior;Campos Novos Paulista;3;0;;
3509908;Interior;Cananéia;54;3;;
3509957;Interior;Canas;3;0;;
3510005;Interior;Cândido Mota;60;1;;
3510104;Interior;Cândido Rodrigues;18;0;;
3510153;Interior;Canitar;5;0;;
3510203;Interior;Capão Bonito;173;12;;
3510302;Interior;Capela do Alto;115;0;;
3510401;Interior;Capivari;317;1;;
3510500;Interior;Caraguatatuba;544;39;;
3510609;RMSP (exceto capital);Carapicuíba;3010;183;;
3510708;Interior;Cardoso;32;2;;
3510807;Interior;Casa Branca;41;1;;
3510906;Interior;Cássia dos Coqueiros;13;0;;
3511003;Interior;Castilho;31;1;;
3511102;Interior;Catanduva;672;33;;
3511201;Interior;Catiguá;54;1;;
3511300;Interior;Cedral;36;1;;
3511409;Interior;Cerqueira César;24;1;;
3511508;Interior;Cerquilho;84;7;;
3511607;Interior;Cesário Lange;31;2;;
3511706;Interior;Charqueada;128;3;;
3511904;Interior;Clementina;22;0;;
3512001;Interior;Colina;80;7;;
3512100;Interior;Colômbia;18;1;;
3512209;Interior;Conchal;76;2;;
3512308;Interior;Conchas;68;3;;
3512407;Interior;Cordeirópolis;428;6;;
3512506;Interior;Coroados;29;2;;
3512605;Interior;Coronel Macedo;3;2;;
3512704;Interior;Corumbataí;25;0;;
3512803;Interior;Cosmópolis;369;8;;
3512902;Interior;Cosmorama;51;2;;
3513009;RMSP (exceto capital);Cotia;1766;102;;
3513108;Interior;Cravinhos;92;9;;
3513207;Interior;Cristais Paulista;10;1;;
3513405;Interior;Cruzeiro;115;3;;
3513504;Interior;Cubatão;3046;114;;
3513603;Interior;Cunha;18;0;;
3513702;Interior;Descalvado;55;2;;
3513801;RMSP (exceto capital);Diadema;4089;210;;
3513850;Interior;Dirce Reis;4;0;;
3513900;Interior;Divinolândia;2;0;;
3514007;Interior;Dobrada;18;0;;
3514106;Interior;Dois Córregos;16;2;;
3514205;Interior;Dolcinópolis;27;2;;
3514304;Interior;Dourado;29;0;;
3514403;Interior;Dracena;102;4;;
3514502;Interior;Duartina;35;1;;
3514601;Interior;Dumont;54;0;;
3514700;Interior;Echaporã;3;1;;
3514809;Interior;Eldorado;48;1;;
3514908;Interior;Elias Fausto;65;4;;
3514924;Interior;Elisiário;6;0;;
3514957;Interior;Embaúba;19;1;;
3515004;RMSP (exceto capital);Embu das Artes;1562;103;;
3515103;RMSP (exceto capital);Embu-Guaçu;470;14;;
3515129;Interior;Emilianópolis;14;2;;
3515152;Interior;Engenheiro Coelho;143;4;;
3515186;Interior;Espírito Santo do Pinhal;95;2;;
3515194;Interior;Espírito Santo do Turvo;15;0;;
3515202;Interior;Estrela d'Oeste;158;5;;
3515301;Interior;Estrela do Norte;7;0;;
3515350;Interior;Euclides da Cunha Paulista;8;1;;
3515400;Interior;Fartura;30;1;;
3515509;Interior;Fernandópolis;672;13;;
3515608;Interior;Fernando Prestes;26;2;;
3515657;Interior;Fernão;1;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;1164;87;;
3515806;Interior;Flora Rica;5;0;;
3515905;Interior;Floreal;19;1;;
3516002;Interior;Flórida Paulista;30;1;;
3516200;Interior;Franca;494;14;;
3516309;RMSP (exceto capital);Francisco Morato;1257;58;;
3516408;RMSP (exceto capital);Franco da Rocha;936;80;;
3516507;Interior;Gabriel Monteiro;7;2;;
3516606;Interior;Gália;6;0;;
3516705;Interior;Garça;36;1;;
3516804;Interior;Gastão Vidigal;63;10;;
3516853;Interior;Gavião Peixoto;24;0;;
3516903;Interior;General Salgado;66;0;;
3517000;Interior;Getulina;43;0;;
3517109;Interior;Glicério;14;0;;
3517208;Interior;Guaiçara;111;1;;
3517307;Interior;Guaimbê;12;1;;
3517406;Interior;Guaíra;221;4;;
3517505;Interior;Guapiaçu;122;8;;
3517604;Interior;Guapiara;39;4;;
3517703;Interior;Guará;15;1;;
3517802;Interior;Guaraçaí;6;0;;
3517901;Interior;Guaraci;7;0;;
3518008;Interior;Guarani d'Oeste;26;0;;
3518107;Interior;Guarantã;40;0;;
3518206;Interior;Guararapes;171;2;;
3518305;RMSP (exceto capital);Guararema;173;13;;
3518404;Interior;Guaratinguetá;152;10;;
3518503;Interior;Guareí;136;1;;
3518602;Interior;Guariba;327;6;;
3518701;Interior;Guarujá;4035;161;;
3518800;RMSP (exceto capital);Guarulhos;9076;851;;
3518859;Interior;Guatapará;11;0;;
3518909;Interior;Guzolândia;10;0;;
3519006;Interior;Herculândia;30;2;;
3519055;Interior;Holambra;49;0;;
3519071;Interior;Hortolândia;1246;39;;
3519105;Interior;Iacanga;6;0;;
3519204;Interior;Iacri;6;0;;
3519253;Interior;Iaras;3;1;;
3519303;Interior;Ibaté;113;1;;
3519402;Interior;Ibirá;92;2;;
3519501;Interior;Ibirarema;23;0;;
3519600;Interior;Ibitinga;233;6;;
3519709;Interior;Ibiúna;183;11;;
3519808;Interior;Icém;5;0;;
3519907;Interior;Iepê;2;1;;
3520004;Interior;Igaraçu do Tietê;108;2;;
3520103;Interior;Igarapava;100;2;;
3520202;Interior;Igaratá;180;2;;
3520301;Interior;Iguape;139;1;;
3520400;Interior;Ilhabela;294;3;;
3520426;Interior;Ilha Comprida;46;2;;
3520442;Interior;Ilha Solteira;42;0;;
3520509;Interior;Indaiatuba;829;57;;
3520608;Interior;Indiana;34;0;;
3520707;Interior;Indiaporã;15;0;;
3520806;Interior;Inúbia Paulista;2;0;;
3520905;Interior;Ipaussu;67;0;;
3521002;Interior;Iperó;65;0;;
3521101;Interior;Ipeúna;24;0;;
3521150;Interior;Ipiguá;38;2;;
3521200;Interior;Iporanga;3;0;;
3521309;Interior;Ipuã;125;3;;
3521408;Interior;Iracemápolis;239;5;;
3521507;Interior;Irapuã;14;0;;
3521606;Interior;Irapuru;31;1;;
3521705;Interior;Itaberá;19;0;;
3521804;Interior;Itaí;26;0;;
3521903;Interior;Itajobi;131;4;;
3522000;Interior;Itaju;21;0;;
3522109;Interior;Itanhaém;257;33;;
3522158;Interior;Itaoca;10;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;1212;95;;
3522307;Interior;Itapetininga;390;25;;
3522406;Interior;Itapeva;98;2;;
3522505;RMSP (exceto capital);Itapevi;1534;152;;
3522604;Interior;Itapira;231;13;;
3522653;Interior;Itapirapuã Paulista;20;0;;
3522703;Interior;Itápolis;49;1;;
3522802;Interior;Itaporanga;16;0;;
3522901;Interior;Itapuí;41;1;;
3523008;Interior;Itapura;18;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;1868;158;;
3523206;Interior;Itararé;68;1;;
3523305;Interior;Itariri;92;3;;
3523404;Interior;Itatiba;275;9;;
3523503;Interior;Itatinga;64;1;;
3523602;Interior;Itirapina;46;1;;
3523701;Interior;Itirapuã;2;1;;
3523800;Interior;Itobi;35;0;;
3523909;Interior;Itu;912;40;;
3524006;Interior;Itupeva;534;16;;
3524105;Interior;Ituverava;51;1;;
3524204;Interior;Jaborandi;67;1;;
3524303;Interior;Jaboticabal;118;9;;
3524402;Interior;Jacareí;985;37;;
3524501;Interior;Jaci;98;2;;
3524600;Interior;Jacupiranga;95;4;;
3524709;Interior;Jaguariúna;247;10;;
3524808;Interior;Jales;265;4;;
3524907;Interior;Jambeiro;22;1;;
3525003;RMSP (exceto capital);Jandira;612;45;;
3525102;Interior;Jardinópolis;145;11;;
3525201;Interior;Jarinu;168;17;;
3525300;Interior;Jaú;566;16;;
3525508;Interior;Joanópolis;15;0;;
3525607;Interior;João Ramalho;19;1;;
3525706;Interior;José Bonifácio;230;6;;
3525805;Interior;Júlio Mesquita;8;1;;
3525854;Interior;Jumirim;6;0;;
3525904;Interior;Jundiaí;5004;230;;
3526001;Interior;Junqueirópolis;45;1;;
3526100;Interior;Juquiá;105;1;;
3526209;RMSP (exceto capital);Juquitiba;153;5;;
3526407;Interior;Laranjal Paulista;133;3;;
3526506;Interior;Lavínia;11;0;;
3526605;Interior;Lavrinhas;13;1;;
3526704;Interior;Leme;728;18;;
3526803;Interior;Lençóis Paulista;1192;26;;
3526902;Interior;Limeira;1408;63;;
3527009;Interior;Lindóia;9;0;;
3527108;Interior;Lins;380;14;;
3527207;Interior;Lorena;150;6;;
3527256;Interior;Lourdes;1;0;;
3527306;Interior;Louveira;296;13;;
3527405;Interior;Lucélia;42;5;;
3527504;Interior;Lucianópolis;1;0;;
3527603;Interior;Luís Antônio;55;5;;
3527702;Interior;Luiziânia;35;0;;
3527801;Interior;Lupércio;15;0;;
3527900;Interior;Lutécia;1;0;;
3528007;Interior;Macatuba;341;3;;
3528106;Interior;Macaubal;25;2;;
3528205;Interior;Macedônia;17;0;;
3528304;Interior;Magda;16;1;;
3528403;Interior;Mairinque;185;11;;
3528502;RMSP (exceto capital);Mairiporã;321;29;;
3528601;Interior;Manduri;17;0;;
3528700;Interior;Marabá Paulista;2;0;;
3528809;Interior;Maracaí;67;0;;
3528858;Interior;Marapoama;5;0;;
3528908;Interior;Mariápolis;2;0;;
3529005;Interior;Marília;520;17;;
3529104;Interior;Marinópolis;3;0;;
3529203;Interior;Martinópolis;51;2;;
3529302;Interior;Matão;99;4;;
3529401;RMSP (exceto capital);Mauá;2774;173;;
3529500;Interior;Mendonça;93;5;;
3529609;Interior;Meridiano;10;0;;
3529658;Interior;Mesópolis;6;0;;
3529708;Interior;Miguelópolis;49;1;;
3529807;Interior;Mineiros do Tietê;44;2;;
3529906;Interior;Miracatu;136;7;;
3530003;Interior;Mira Estrela;12;1;;
3530102;Interior;Mirandópolis;103;5;;
3530201;Interior;Mirante do Paranapanema;17;0;;
3530300;Interior;Mirassol;218;8;;
3530409;Interior;Mirassolândia;33;1;;
3530508;Interior;Mococa;191;6;;
3530607;RMSP (exceto capital);Mogi das Cruzes;2613;193;;
3530706;Interior;Mogi Guaçu;915;24;;
3530805;Interior;Mogi Mirim;310;13;;
3530904;Interior;Mombuca;9;0;;
3531001;Interior;Monções;20;1;;
3531100;Interior;Mongaguá;213;6;;
3531209;Interior;Monte Alegre do Sul;14;0;;
3531308;Interior;Monte Alto;95;1;;
3531407;Interior;Monte Aprazível;121;4;;
3531506;Interior;Monte Azul Paulista;58;1;;
3531704;Interior;Monteiro Lobato;14;0;;
3531803;Interior;Monte Mor;400;10;;
3531902;Interior;Morro Agudo;309;7;;
3532009;Interior;Morungaba;39;1;;
3532058;Interior;Motuca;25;0;;
3532108;Interior;Murutinga do Sul;5;0;;
3532157;Interior;Nantes;1;0;;
3532207;Interior;Narandiba;2;0;;
3532306;Interior;Natividade da Serra;3;1;;
3532405;Interior;Nazaré Paulista;73;2;;
3532504;Interior;Neves Paulista;28;0;;
3532603;Interior;Nhandeara;31;0;;
3532702;Interior;Nipoã;29;0;;
3532801;Interior;Nova Aliança;44;1;;
3532827;Interior;Nova Campina;1;0;;
3532868;Interior;Nova Castilho;7;1;;
3532900;Interior;Nova Europa;88;0;;
3533007;Interior;Nova Granada;82;1;;
3533106;Interior;Nova Guataporanga;6;0;;
3533254;Interior;Novais;18;0;;
3533304;Interior;Nova Luzitânia;19;0;;
3533403;Interior;Nova Odessa;209;14;;
3533502;Interior;Novo Horizonte;79;2;;
3533601;Interior;Nuporanga;8;1;;
3533700;Interior;Ocauçu;2;0;;
3533809;Interior;Óleo;2;0;;
3533908;Interior;Olímpia;197;3;;
3534005;Interior;Onda Verde;23;1;;
3534104;Interior;Oriente;9;0;;
3534203;Interior;Orindiúva;36;0;;
3534302;Interior;Orlândia;210;6;;
3534401;RMSP (exceto capital);Osasco;6991;543;;
3534500;Interior;Oscar Bressane;1;0;;
3534609;Interior;Osvaldo Cruz;52;1;;
3534708;Interior;Ourinhos;519;6;;
3534757;Interior;Ouroeste;37;1;;
3534807;Interior;Ouro Verde;3;0;;
3534906;Interior;Pacaembu;43;3;;
3535002;Interior;Palestina;19;0;;
3535101;Interior;Palmares Paulista;34;2;;
3535200;Interior;Palmeira d'Oeste;35;0;;
3535309;Interior;Palmital;32;1;;
3535408;Interior;Panorama;21;1;;
3535507;Interior;Paraguaçu Paulista;92;4;;
3535606;Interior;Paraibuna;33;0;;
3535705;Interior;Paraíso;25;1;;
3535804;Interior;Paranapanema;35;1;;
3535903;Interior;Paranapuã;7;0;;
3536000;Interior;Parapuã;9;1;;
3536109;Interior;Pardinho;46;1;;
3536208;Interior;Pariquera-Açu;256;6;;
3536257;Interior;Parisi;16;0;;
3536307;Interior;Patrocínio Paulista;20;0;;
3536406;Interior;Paulicéia;8;1;;
3536505;Interior;Paulínia;1651;15;;
3536570;Interior;Paulistânia;5;0;;
3536604;Interior;Paulo de Faria;4;1;;
3536703;Interior;Pederneiras;223;3;;
3536802;Interior;Pedra Bela;5;0;;
3536901;Interior;Pedranópolis;11;1;;
3537008;Interior;Pedregulho;5;0;;
3537107;Interior;Pedreira;50;1;;
3537156;Interior;Pedrinhas Paulista;4;1;;
3537206;Interior;Pedro de Toledo;9;0;;
3537305;Interior;Penápolis;89;5;;
3537404;Interior;Pereira Barreto;59;4;;
3537503;Interior;Pereiras;23;1;;
3537602;Interior;Peruíbe;190;16;;
3537701;Interior;Piacatu;2;0;;
3537800;Interior;Piedade;251;12;;
3537909;Interior;Pilar do Sul;90;2;;
3538006;Interior;Pindamonhangaba;295;12;;
3538105;Interior;Pindorama;69;3;;
3538204;Interior;Pinhalzinho;32;0;;
3538303;Interior;Piquerobi;7;0;;
3538501;Interior;Piquete;29;1;;
3538600;Interior;Piracaia;84;2;;
3538709;Interior;Piracicaba;3990;121;;
3538808;Interior;Piraju;125;4;;
3538907;Interior;Pirajuí;56;2;;
3539004;Interior;Pirangi;113;3;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;209;4;;
3539202;Interior;Pirapozinho;63;4;;
3539301;Interior;Pirassununga;357;2;;
3539400;Interior;Piratininga;84;3;;
3539509;Interior;Pitangueiras;137;3;;
3539608;Interior;Planalto;68;1;;
3539707;Interior;Platina;2;0;;
3539806;RMSP (exceto capital);Poá;673;60;;
3539905;Interior;Poloni;16;1;;
3540002;Interior;Pompéia;12;1;;
3540101;Interior;Pongaí;6;0;;
3540200;Interior;Pontal;448;15;;
3540259;Interior;Pontalinda;20;3;;
3540309;Interior;Pontes Gestal;12;1;;
3540408;Interior;Populina;27;1;;
3540507;Interior;Porangaba;12;0;;
3540606;Interior;Porto Feliz;363;6;;
3540705;Interior;Porto Ferreira;200;2;;
3540754;Interior;Potim;22;0;;
3540804;Interior;Potirendaba;140;3;;
3540853;Interior;Pracinha;4;0;;
3540903;Interior;Pradópolis;103;8;;
3541000;Interior;Praia Grande;3819;103;;
3541059;Interior;Pratânia;16;0;;
3541109;Interior;Presidente Alves;9;0;;
3541208;Interior;Presidente Bernardes;55;0;;
3541307;Interior;Presidente Epitácio;66;2;;
3541406;Interior;Presidente Prudente;1064;25;;
3541505;Interior;Presidente Venceslau;97;9;;
3541604;Interior;Promissão;368;1;;
3541653;Interior;Quadra;3;0;;
3541703;Interior;Quatá;36;2;;
3541802;Interior;Queiroz;16;1;;
3541901;Interior;Queluz;44;0;;
3542008;Interior;Quintana;5;0;;
3542107;Interior;Rafard;53;0;;
3542206;Interior;Rancharia;54;2;;
3542305;Interior;Redenção da Serra;9;0;;
3542404;Interior;Regente Feijó;24;0;;
3542503;Interior;Reginópolis;7;1;;
3542602;Interior;Registro;465;10;;
3542701;Interior;Restinga;1;0;;
3542800;Interior;Ribeira;12;0;;
3542909;Interior;Ribeirão Bonito;24;0;;
3543006;Interior;Ribeirão Branco;40;0;;
3543204;Interior;Ribeirão do Sul;7;0;;
3543238;Interior;Ribeirão dos Índios;5;2;;
3543253;Interior;Ribeirão Grande;29;0;;
3543303;RMSP (exceto capital);Ribeirão Pires;612;34;;
3543402;Interior;Ribeirão Preto;6775;232;;
3543501;Interior;Riversul;5;0;;
3543600;Interior;Rifaina;6;0;;
3543709;Interior;Rincão;25;1;;
3543808;Interior;Rinópolis;11;0;;
3543907;Interior;Rio Claro;1211;43;;
3544004;Interior;Rio das Pedras;138;7;;
3544103;RMSP (exceto capital);Rio Grande da Serra;299;10;;
3544202;Interior;Riolândia;31;0;;
3544251;Interior;Rosana;23;0;;
3544301;Interior;Roseira;21;1;;
3544400;Interior;Rubiácea;23;0;;
3544509;Interior;Rubinéia;22;0;;
3544608;Interior;Sabino;5;1;;
3544707;Interior;Sagres;2;0;;
3544806;Interior;Sales;15;1;;
3544905;Interior;Sales Oliveira;50;0;;
3545001;RMSP (exceto capital);Salesópolis;59;6;;
3545100;Interior;Salmourão;4;0;;
3545159;Interior;Saltinho;47;2;;
3545209;Interior;Salto;395;12;;
3545308;Interior;Salto de Pirapora;235;7;;
3545407;Interior;Salto Grande;20;0;;
3545506;Interior;Sandovalina;1;0;;
3545605;Interior;Santa Adélia;50;1;;
3545704;Interior;Santa Albertina;12;0;;
3545803;Interior;Santa Bárbara d'Oeste;1009;31;;
3546009;Interior;Santa Branca;57;3;;
3546108;Interior;Santa Clara d'Oeste;8;0;;
3546207;Interior;Santa Cruz da Conceição;34;0;;
3546256;Interior;Santa Cruz da Esperança;7;0;;
3546306;Interior;Santa Cruz das Palmeiras;270;2;;
3546405;Interior;Santa Cruz do Rio Pardo;286;1;;
3546504;Interior;Santa Ernestina;46;0;;
3546603;Interior;Santa Fé do Sul;167;3;;
3546702;Interior;Santa Gertrudes;172;3;;
3546801;RMSP (exceto capital);Santa Isabel;475;43;;
3546900;Interior;Santa Lúcia;15;0;;
3547007;Interior;Santa Maria da Serra;43;0;;
3547106;Interior;Santa Mercedes;1;0;;
3547205;Interior;Santana da Ponte Pensa;3;0;;
3547304;RMSP (exceto capital);Santana de Parnaíba;1349;52;;
3547403;Interior;Santa Rita d'Oeste;2;0;;
3547502;Interior;Santa Rita do Passa Quatro;61;2;;
3547601;Interior;Santa Rosa de Viterbo;37;1;;
3547650;Interior;Santa Salete;26;1;;
3547700;Interior;Santo Anastácio;39;5;;
3547809;RMSP (exceto capital);Santo André;8275;310;;
3547908;Interior;Santo Antônio da Alegria;8;2;;
3548005;Interior;Santo Antônio de Posse;63;0;;
3548054;Interior;Santo Antônio do Aracanguá;60;4;;
3548104;Interior;Santo Antônio do Jardim;21;2;;
3548203;Interior;Santo Antônio do Pinhal;17;2;;
3548302;Interior;Santo Expedito;7;0;;
3548401;Interior;Santópolis do Aguapeí;4;1;;
3548500;Interior;Santos;12362;398;;
3548609;Interior;São Bento do Sapucaí;20;0;;
3548708;RMSP (exceto capital);São Bernardo do Campo;10549;498;;
3548807;RMSP (exceto capital);São Caetano do Sul;2061;98;;
3548906;Interior;São Carlos;736;15;;
3549003;Interior;São Francisco;6;0;;
3549102;Interior;São João da Boa Vista;117;5;;
3549201;Interior;São João das Duas Pontes;50;1;;
3549250;Interior;São João de Iracema;14;0;;
3549300;Interior;São João do Pau d'Alho;1;0;;
3549409;Interior;São Joaquim da Barra;199;4;;
3549508;Interior;São José da Bela Vista;7;1;;
3549706;Interior;São José do Rio Pardo;91;7;;
3549805;Interior;São José do Rio Preto;4417;130;;
3549904;Interior;São José dos Campos;4195;116;;
3549953;RMSP (exceto capital);São Lourenço da Serra;65;5;;
3550001;Interior;São Luiz do Paraitinga;8;1;;
3550100;Interior;São Manuel;108;4;;
3550209;Interior;São Miguel Arcanjo;150;6;;
3550308;Capital;São Paulo;152806;8212;;
3550407;Interior;São Pedro;147;4;;
3550506;Interior;São Pedro do Turvo;9;0;;
3550605;Interior;São Roque;260;13;;
3550704;Interior;São Sebastião;565;6;;
3550803;Interior;São Sebastião da Grama;25;1;;
3550902;Interior;São Simão;36;2;;
3551009;Interior;São Vicente;3740;195;;
3551108;Interior;Sarapuí;6;0;;
3551207;Interior;Sarutaiá;26;0;;
3551306;Interior;Sebastianópolis do Sul;18;0;;
3551405;Interior;Serra Azul;17;0;;
3551504;Interior;Serrana;228;13;;
3551603;Interior;Serra Negra;41;0;;
3551702;Interior;Sertãozinho;1012;24;;
3551801;Interior;Sete Barras;32;1;;
3551900;Interior;Severínia;34;0;;
3552007;Interior;Silveiras;8;0;;
3552106;Interior;Socorro;68;5;;
3552205;Interior;Sorocaba;6363;162;;
3552304;Interior;Sud Mennucci;17;0;;
3552403;Interior;Sumaré;1879;45;;
3552502;RMSP (exceto capital);Suzano;1878;130;;
3552551;Interior;Suzanápolis;5;0;;
3552601;Interior;Tabapuã;168;10;;
3552700;Interior;Tabatinga;47;1;;
3552809;RMSP (exceto capital);Taboão da Serra;2800;147;;
3552908;Interior;Taciba;13;0;;
3553005;Interior;Taguaí;15;1;;
3553104;Interior;Taiaçu;27;0;;
3553203;Interior;Taiúva;21;0;;
3553302;Interior;Tambaú;37;0;;
3553401;Interior;Tanabi;228;5;;
3553500;Interior;Tapiraí;77;0;;
3553609;Interior;Tapiratiba;14;0;;
3553658;Interior;Taquaral;8;1;;
3553708;Interior;Taquaritinga;85;2;;
3553807;Interior;Taquarituba;24;0;;
3553856;Interior;Taquarivaí;8;0;;
3553906;Interior;Tarabai;20;1;;
3553955;Interior;Tarumã;26;0;;
3554003;Interior;Tatuí;503;26;;
3554102;Interior;Taubaté;740;14;;
3554201;Interior;Tejupá;11;0;;
3554300;Interior;Teodoro Sampaio;24;0;;
3554409;Interior;Terra Roxa;114;3;;
3554508;Interior;Tietê;122;2;;
3554607;Interior;Timburi;6;0;;
3554656;Interior;Torre de Pedra;8;2;;
3554706;Interior;Torrinha;93;3;;
3554755;Interior;Trabiju;6;0;;
3554805;Interior;Tremembé;54;0;;
3554904;Interior;Três Fronteiras;39;1;;
3554953;Interior;Tuiuti;14;0;;
3555000;Interior;Tupã;93;2;;
3555109;Interior;Tupi Paulista;44;0;;
3555208;Interior;Turiúba;12;1;;
3555307;Interior;Turmalina;6;0;;
3555356;Interior;Ubarana;27;0;;
3555406;Interior;Ubatuba;231;12;;
3555505;Interior;Ubirajara;32;1;;
3555604;Interior;Uchoa;84;5;;
3555703;Interior;União Paulista;11;0;;
3555802;Interior;Urânia;87;4;;
3555901;Interior;Uru;5;1;;
3556008;Interior;Urupês;20;2;;
3556107;Interior;Valentim Gentil;124;0;;
3556206;Interior;Valinhos;831;26;;
3556305;Interior;Valparaíso;120;5;;
3556354;Interior;Vargem;27;1;;
3556404;Interior;Vargem Grande do Sul;65;0;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;235;17;;
3556503;Interior;Várzea Paulista;626;41;;
3556602;Interior;Vera Cruz;4;1;;
3556701;Interior;Vinhedo;495;12;;
3556800;Interior;Viradouro;49;4;;
3556909;Interior;Vista Alegre do Alto;55;2;;
3556958;Interior;Vitória Brasil;3;0;;
3557006;Interior;Votorantim;732;30;;
3557105;Interior;Votuporanga;775;19;;
3557154;Interior;Zacarias;13;0;;
3557204;Interior;Chavantes;8;0;;
3557303;Interior;Estiva Gerbi;56;2;;
9999999;;Ignorado;61;0;;
